Seq,PassOrFail,Injection_Time,Filling_Time,Plasticizing_Time,Plasticizing_Position,Max_Injection_Speed,Max_Screw_RPM,Max_Switch_Over_Pressure,Max_Back_Pressure,Hopper_Temperature
3850,1,9.669229248,4.549229215,16.50384731,68.51922496,53.82310201,30.53077086,137.2153723,38.5076865,64.74616684
5545,0,9.600000381,4.480000019,16.88999939,68.58000183,55.40000153,30.60000038,136.8000031,38,67.80000305
6411,0,9.510000229,4.389999866,16.78000069,68.25,56,30.5,135.8999939,37.29999924,67.19999695
4781,1,10.82999992,5.71999979,16.81999969,68.58000183,45.40000153,31.10000038,142.6999969,71.90000153,63.79999924
3606,0,9.569999695,4.460000038,16.94000053,68.48999786,55.29999924,30.60000038,136.8000031,37.90000153,67.80000305
731,1,9.571266564,4.45126647,16.94253236,68.83999634,55.79999924,30.81266435,136.4943292,37.11266467,67.27467067
1681,0,9.510000229,4.400000095,16.80999947,68.26999664,56,30.70000076,136,37.70000076,66.90000153
875,1,9.582660112,4.465320289,16.95000076,68.85467922,55.44679724,30.84679737,136.6064035,37.15320123,67.98621118
199,1,1.080000043,0.949999988,13.1473823,53.61738186,127.0999985,30.89999962,119.0999985,57.95235088,64.54294688
7530,0,9.579999924,4.46999979,16.89999962,68.83999634,55.40000153,30.79999924,136.6000061,37.40000153,67
462,1,9.449999809,4.329999924,16.93506552,68.83999634,60.86623191,30.88311481,136.8831107,36.43507706,67.16884744
664,1,1.059999943,0.939999998,12.98575514,53.56929237,128.3000031,30.80707371,116.2929282,55.99292567,66.19999695
4937,1,12.54079203,7.420792149,16.69469495,68.58999634,41.44987992,30.6659141,145.5826179,40.60292849,64.35530705
916,1,9.699999809,4.579999924,16.46999931,68.58999634,53.29999924,30.5,137.3999939,38.59999847,64.5
2833,0,9.529999733,4.409999847,16.80999947,68.25,55.79999924,30.60000038,136.1999969,37.70000076,66.09999847
147,0,9.550000191,4.440000057,16.93000031,68.5,55.5,30.5,136.6000061,37.5,68.69999695
1510,0,9.590000153,4.480000019,16.82999992,68.58999634,55.5,30.60000038,136.5,38,66.90000153
210,1,10.18900594,5.079006166,16.60130848,68.60262422,48.41644245,30.79835658,139.9097914,55.83745131,64.70493209
5842,0,9.600000381,4.480000019,16.55999947,68.33999634,54.90000153,30.70000076,136.8000031,38.09999847,64.90000153
14,0,9.529999733,4.420000076,16.85000038,68.25,55.70000076,30.70000076,136.3999939,37.79999924,66.40000153
5108,0,9.590000153,4.46999979,16.57999992,68.33000183,54.90000153,30.70000076,136.8999939,37.90000153,64.40000153
1122,1,1.059999943,0.930000007,12.98059791,53.56999969,128.3514931,30.89999962,116,55.74850528,65.81195709
5696,0,9.579999924,4.460000038,16.63999939,68.36000061,55.20000076,30.60000038,136.1999969,38.20000076,65
2887,1,9.699999809,4.579999924,16.46999931,68.58999634,53.29999924,30.5,137.3999939,38.59999847,64.5
829,0,9.529999733,4.409999847,17.01000023,68.48000336,56.29999924,31,136,38.09999847,67.69999695
5008,1,9.593995848,4.476997752,16.91099328,68.83999634,55.3300219,30.73995562,136.73996,37.53002152,67.10022284
6680,0,9.529999733,4.409999847,17.26000023,68.47000122,56.5,30.79999924,136.5,38.20000076,70.5
5547,1,1.059999943,0.930000007,12.94669505,53.566674,128.3667344,30.93347476,115.9997875,55.56652524,65.4660979
7465,0,9.569999695,4.460000038,16.88999939,68.83999634,55.5,30.70000076,136.6000061,37.09999847,67
4219,0,9.539999962,4.420000076,16.82999992,68.25,55.70000076,30.70000076,136.5,37.79999924,67
5215,1,9.569999695,4.460000038,16.91742361,68.84128482,55.5,30.67423662,136.5871233,37.23864673,67.20305504
5901,1,9.570660435,4.455330071,16.93599086,68.8506589,55.64009544,30.89999962,136.3599028,37.09999847,67.47311071
550,0,9.510000229,4.400000095,16.89999962,68.26000214,56,30.5,136.3999939,37.5,67.09999847
864,0,9.569999695,4.460000038,16.92000008,68.48999786,55.29999924,30.70000076,136.6000061,37.90000153,68.59999847
536,0,9.590000153,4.46999979,16.89999962,68.48000336,55.20000076,30.70000076,136.8999939,38.09999847,68.09999847
5406,0,9.539999962,4.429999828,17.04999924,68.48000336,56.09999847,30.79999924,136.5,38.40000153,68.5
7892,0,9.510000229,4.400000095,16.89999962,68.26000214,56,30.5,136.3999939,37.5,67.09999847
867,1,11.19330358,6.075268611,16.70677288,68.59392693,45.9448954,30.53929765,143.1782625,45.05576418,64.43754371
6687,1,9.57366146,4.453661423,16.94732216,68.83999634,55.79999924,30.83661377,136.5781523,37.13661431,67.22677138
3067,1,1.059999943,0.937635285,12.93472962,53.58527061,128.2236455,30.87635238,116.3000031,55.79999924,65.11282622
2826,0,9.609999657,4.489999771,16.60000038,68.36000061,54.90000153,30.70000076,136.6999969,38.40000153,66
3513,0,1.059999943,0.939999998,12.85999966,53.59000015,128.1000061,31,116.5,56.29999924,65.5
7528,1,1.059999943,0.936481937,12.95462665,53.56351885,128.3351805,30.89999962,116.1296367,55.82963998,66.19999695
4575,1,1.059999943,0.939999998,12.88414701,53.59585237,128.0414706,30.79999924,116.7170651,56.49266065,64
6785,1,1.059999943,0.939999998,12.91422208,53.59000015,128.1737025,30.89999962,116.3788924,56.03667136,64.95259444
2439,0,1.059999943,0.939999998,12.82999992,53.59999847,128.1000061,31,116.4000015,56.20000076,65.09999847
